"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18"
"1" 0.232709923742443 0.239136749891956 0.460411172384175 0.0413737347095552 0.595698683371674 0.0112191369937165 0.242594158606513 0.281887983753353 0.44430147710811 0.305536028320345 0.199106809107618 0.410697417492575 0.284332979588356 0.244123123894881 0.399698816058326 0.293884484310804 0.633478455946721 0.00533954574230452
"2" 0.0173536801375221 0.122086453394863 -0.237916307513419 0.289594530703805 1.01797111993969 0.917419726053974 0.208582725119909 0.32012023655274 0.36032354441357 0.316118742615171 0.215940605364136 0.37998391263349 -0.0190442667795733 0.293730644575742 0.305800257614513 0.126872919498009 0.251337681912805 0.376615045581331
"3" 0.284624546060619 0.345385930130185 0.297516778337366 0.30929499165797 0.379312636956082 0.17997465907773 0.237563133291428 0.407542736508725 0.413109195545345 0.337878943993181 0.250556197580537 0.444862954381124 0.106261913836642 0.0938970879574777 0.342512650546686 0.103107194406835 0.312808557437469 0.767742560614697
"4" 0.303776436207608 0.202802348590365 0.236575783462544 0.13334123875013 0.257003833521792 1.53170463586111 0.24405823147349 0.417373930100214 0.395491571609947 0.373961122645963 0.291835528663683 0.388880014462673 -7.16031782065564 -1.80349594986711 1.79545687668849 5.00456660746784 2.00532160568077 4.75313517280034
"5" 0.288193632996199 0.300741950087972 0.535165976676916 0.110353774769257 -0.144606123211593 0.650548693176368 0.114226480057841 0.266694660609504 0.380495393363804 0.266622445959145 0.24935492815378 0.451093236337505 1.00589515715264 -7.18481081579055 1.413236304738 0.220328356263241 4.33277467698112 2.06087397890655
"6" 0.113900338924488 0.19416865309104 0.415403078570898 0.872380267503089 0.489914827475794 0.901706456363746 0.210980858842573 0.325990480076077 0.450895833434831 0.274518288434361 0.204556313790057 0.403436068949532 0.0836274559152959 0.264590884678721 0.250106126527955 0.546618381228329 0.376818037862123 0.335713923681232
"7" 0.132991004095968 0.26223057625201 0.445403126027612 0.162227098339127 0.0546295086532976 0.556088198078184 0.0919558252739192 0.279944627910293 0.389138536549025 0.289152718023812 0.197700658574848 0.359612660839205 -0.914772657965945 0.373934543014575 -0.211959217528347 -0.458286631164519 0.687529172957508 1.83479690772335
"8" 0.0635591425652686 0.353047243537669 0.310184710255796 0.0482949078848078 0.362535676667778 0.160442921707544 0.226003727639083 0.271393964333737 0.435443571668049 0.285774752906525 0.193141400253665 0.462863378869066 0.0377720499567041 0.262707437929143 0.279267970242554 0.576216126374635 0.0256596399129023 0.598305001340194
"9" 0.369977913397021 0.384650470206022 0.792656328170694 -0.610067122403799 0.0396061411295964 1.06423986741935 0.171697530864197 0.328032407407408 0.286913580246913 0.279259259259259 0.245856481481481 0.435648148148147 0.180112028981089 0.293911102457353 0.426586241834938 0.0911665622958034 0.505174950581181 0.614976713412202
"10" 0.180174946807831 0.34306120937967 0.58212031030541 0.53316965060332 0.065896337618735 0.635418566831769 0.144258411675375 0.244550713536834 0.33541866005243 0.561446922898894 0.158994008430651 0.452925012743955 0.909818075136343 0.0658725106858094 0.75445173896369 1.2133779267327 0.612426948338022 1.65631579364272
"11" 0.201837628229782 0.393723747441716 0.565064842861443 1.59908206198146 -0.464079254255658 -0.148657804890122 0.196673192722003 0.388547185970278 0.417786709766595 0.271035674230298 0.310165186944623 0.408474909527491 -0.0371828715430437 0.654356101709161 0.673044036103808 0.146764428848476 0.162268229432195 0.446703661959997
"12" 0.189441065413013 0.238936383351779 0.558552834374367 0.573557444799742 0.0292201272295096 0.2053481100142 0.267885956725107 0.32054994904946 0.387773729305417 0.310812168086193 0.212395561149214 0.385173614456517 0.205513167315872 0.0969493955065762 0.393399335134899 0.383094792190357 0.159925405308468 0.508978636769417
